Title,Date
"Grand Army: Season 1: Relationship Goals","10/22/20"
"Grand Army: Season 1: See Me","10/22/20"
"The Trial of the Chicago 7","10/19/20"
"Unsolved Mysteries: Volume 2: Washington Insider Murder","10/19/20"
"Grand Army: Season 1: Brooklyn, 2020","10/17/20"
"David Attenborough: A Life on Our Planet","10/16/20"
"Sherlock: Series 1: A Study in Pink","10/16/20"
"Norsemen: Season 3: Scrotum Whipping","10/16/20"
"Norsemen: Season 3: Do You Believe in Dragons?","10/16/20"
"Norsemen: Season 3: War Table","10/16/20"
"Norsemen: Season 3: Wedding and Sacrifice","10/16/20"
"Norsemen: Season 3: Bachelor Party","10/15/20"
"Norsemen: Season 3: Thin Up Top","10/15/20"
"Norsemen: Season 2: The Last Domino","10/15/20"
"Norsemen: Season 2: The Thing","10/15/20"
"Derry Girls: Season 2: Episode 3","10/14/20"
"Derry Girls: Season 2: Episode 2","10/14/20"
"Derry Girls: Season 2: Episode 1","10/14/20"
"Norsemen: Season 2: Vengeance","10/13/20"
"Norsemen: Season 2: Hand Job","10/13/20"
"Norsemen: Season 2: Slavebound","10/13/20"
"Norsemen: Season 2: East vs West","10/12/20"
"Norsemen: Season 1: The Duel","10/12/20"
"Norsemen: Season 1: The Siege","10/12/20"
"Norsemen: Season 1: The Raid","10/12/20"
"Norsemen: Season 1: The Funeral","10/12/20"
"Norsemen: Season 1: The Escape","10/12/20"
"Norsemen: Season 1: The Homecoming","10/12/20"
"The Man from U.N.C.L.E.","10/11/20"
"Glow Up: Season 1: The Final","10/11/20"
"The Haunting of Bly Manor: The Two Faces, Part Two","10/11/20"
"The Haunting of Bly Manor: The Jolly Corner","10/11/20"
"The Haunting of Bly Manor: The Altar of the Dead","10/11/20"
"The Haunting of Bly Manor: The Way It Came","10/11/20"
"Code Geass: Lelouch of the Rebellion: Season 1: Episode 4","10/10/20"
"Rage of Bahamut: Genesis: Season 1: Escape from Livian","10/10/20"
"STEINS;GATE: Steins;Gate: Rendezvous of Electrical Charge Conflict","10/10/20"
"Glow Up: Season 1: Makeup Through the Decades","10/10/20"
"Glow Up: Season 1: Magazine Beauty Editorial","10/10/20"
"The Haunting of Bly Manor: The Two Faces, Part One","10/10/20"
"The Haunting of Bly Manor: The Pupil","10/10/20"
"Travelers: Season 1: Kathryn","10/9/20"
"Travelers: Season 1: Bishop","10/9/20"
"The Haunting of Bly Manor: The Great Good Place","10/9/20"
"Travelers: Season 1: Donner","10/9/20"
"Travelers: Season 1: Protocol 5","10/9/20"
"Travelers: Season 1: Helios 685","10/9/20"
"Emily in Paris: Season 1: Cancel Couture","10/8/20"
"Emily in Paris: Season 1: An American Auction in Paris","10/8/20"
"Emily in Paris: Season 1: Family Affair","10/8/20"
"Emily in Paris: Season 1: French Ending","10/8/20"
"Travelers: Season 1: Room 101","10/7/20"
"Travelers: Season 1: Hall","10/7/20"
"Travelers: Season 1: Aleksander","10/7/20"
"Emily in Paris: Season 1: Ringarde","10/7/20"
"Travelers: Season 1: Protocol 6","10/5/20"
"Travelers: Season 1: Pilot","10/4/20"
"Sense8: Season 2: Amor Vincit Omnia","10/3/20"
"Sense8: Season 2: You Want a War?","10/3/20"
"Sense8: Season 2: If All the World's a Stage, Identity Is Nothing But a Costume","10/3/20"
"Emily in Paris: Season 1: Faux Amis","10/3/20"
"Emily in Paris: Season 1: A Kiss Is Just A Kiss","10/3/20"
"Emily in Paris: Season 1: Sexy or Sexist","10/3/20"
"Emily in Paris: Season 1: Masculin Féminin","10/3/20"
"Emily in Paris: Season 1: Emily in Paris","10/3/20"
"Great Pretender: Season 1: Case 1_1: Los Angeles Connection","10/3/20"
"Sense8: Season 2: What Family Actually Means","10/2/20"
"Sense8: Season 2: All I Want Right Now Is One More Bullet","10/2/20"
"Sense8: Season 2: I Have No Room In My Heart For Hate","10/2/20"
"Sense8: Season 2: Isolated Above, Connected Below","10/2/20"
"Sense8: Season 2: Fear Never Fixed Anything","10/2/20"
"My Octopus Teacher","10/1/20"
"Jane The Virgin: Season 5: Chapter Eighty-Three","10/1/20"
"Sense8: Season 2: Happy F*cking New Year.","9/30/20"
"Sense8: Season 1: I Can’t Leave Her","9/30/20"
"Sense8: Season 1: Just Turn the Wheel and the Future Changes","9/30/20"
"Sense8: Season 1: What Is Human?","9/30/20"
"Jane The Virgin: Season 5: Chapter Eighty-Two","9/30/20"
"The Duchess: Season 1: Episode 6","9/30/20"
"Sense8: Season 1: Demons","9/29/20"
"Sense8: Season 1: Art Is Like Religion","9/29/20"
"Sense8: Season 1: What’s Going On?","9/29/20"
"Sense8: Season 1: Smart Money Is on the Skinny Bitch","9/29/20"
"Sense8: Season 1: I Am Also a We","9/29/20"
"The Duchess: Season 1: Episode 5","9/29/20"
"The Duchess: Season 1: Episode 4","9/29/20"
"The Duchess: Season 1: Episode 3","9/29/20"
"The Duchess: Season 1: Episode 2","9/29/20"
"The Duchess: Season 1: Episode 1","9/28/20"
"Sense8: Season 1: Limbic Resonance","9/27/20"
"The Land Before Time","9/27/20"
"Challenger: Limited Series: Nothing Ends Here","9/27/20"
"Durarara!!: Durarara!! x2 Shou: A Picture Is Worth a Thousand Words","9/27/20"
"How to Sell Drugs Online (Fast): Season 1: Nerd Today, Boss Tomorrow","9/26/20"
"How to Sell Drugs Online (Fast): Season 1: Life's Not Fair, Get Used to It","9/26/20"
"Princess Mononoke","9/26/20"
"Sing","9/25/20"
"American History X","9/25/20"
"Ratched: Season 1: Pilot","9/24/20"
"Challenger: Limited Series: A Major Malfunction","9/23/20"
"Enola Holmes","9/23/20"
"Challenger: Limited Series: HELP!","9/21/20"
"Challenger: Limited Series: Space for Everyone","9/21/20"
"Accepted","9/21/20"
"The Shawshank Redemption","9/20/20"
"The Devil All The Time","9/18/20"
"A Million Ways to Die in the West","9/16/20"
"The To Do List","9/16/20"
"The Social Dilemma","9/15/20"
"The Invention of Lying","9/13/20"
"Teenage Bounty Hunters: Season 1: Something Sour Patch","9/13/20"
